# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADARB1	ADARB1	NR_027674.2		0	0	0	236	0	0	0	0	0	0	0	2	0	221	0	6	0	0	0	0	0	7
ADARB1	ADARB1	NR_073200.2		0	0	0	236	0	0	0	0	0	0	0	2	0	221	0	6	0	0	0	0	0	7
ADARB1	ADARB1	NR_144483.2		0	0	0	236	0	0	0	0	0	0	0	2	0	223	0	4	0	0	0	0	0	7
AGPAT3	AGPAT3	NM_001037553.2	protein_coding	0	0	1	111	2	0	1	0	0	0	0	3	0	99	1	0	0	0	0	0	0	6
AGPAT3	AGPAT3	NM_001369878.1	protein_coding	0	0	1	164	2	0	0	0	0	0	0	3	0	156	1	0	0	0	0	0	0	3
AGPAT3	AGPAT3	NM_001369880.1	protein_coding	0	0	1	124	2	0	0	0	0	0	0	3	0	118	1	0	0	0	0	0	0	1
AGPAT3	AGPAT3	NM_001369881.1	protein_coding	0	0	1	164	2	0	1	0	0	0	0	3	0	155	1	0	0	0	0	0	0	3
AGPAT3	AGPAT3	NM_020132.5	protein_coding	0	0	1	164	2	0	1	0	0	0	0	3	0	155	1	0	0	0	0	0	0	3
AIRE	AIRE	NM_000383.4	protein_coding	0	5	1	32	0	0	0	0	0	0	0	7	0	18	1	0	0	0	1	0	4	8
ANKRD20A11P	ANKRD20A11P	NR_027270.1		0	0	0	93	0	0	0	0	0	0	0	9	0	70	0	6	0	0	0	0	0	8
ANKRD30BP2	ANKRD30BP2	NR_026916.1		0	0	0	47	0	0	0	0	0	0	0	1	0	19	0	6	0	0	0	0	0	21
APP	APP	NM_000484.4	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_001136016.3	protein_coding	0	0	0	480	0	0	0	0	0	0	0	11	0	464	0	0	0	0	0	0	0	5
APP	APP	NM_001136129.3	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_001136130.3	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_001136131.2	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	483	0	0	0	0	0	0	0	0
APP	APP	NM_001204301.2	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_001204302.2	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_001204303.2	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_201413.3	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
APP	APP	NM_201414.3	protein_coding	0	0	0	494	0	0	0	0	0	0	0	11	0	482	0	0	0	0	0	0	0	1
ATP5PF	ATP5PF	NM_001003696.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001003697.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001003701.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001003703.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001320266.1	protein_coding	0	0	0	13	0	0	1	0	0	0	0	3	0	7	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001320267.1	protein_coding	0	1	0	13	0	1	2	0	0	0	0	3	0	6	0	0	0	0	0	0	0	2
ATP5PF	ATP5PF	NM_001685.4	protein_coding	0	0	0	13	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	2
ATP5PO	ATP5PO	NM_001697.3	protein_coding	0	2	1	43	0	0	0	0	0	0	0	12	0	27	1	0	0	0	0	0	2	4
B3GALT5	B3GALT5	NM_001278650.1	protein_coding	0	2	1	85	2	0	0	0	0	0	0	7	0	71	1	0	0	0	0	0	2	5
B3GALT5	B3GALT5	NM_001356336.2	protein_coding	0	2	1	95	12	0	0	0	0	0	0	7	0	71	1	0	0	0	0	0	2	5
B3GALT5	B3GALT5	NM_001356338.2	protein_coding	0	2	1	72	12	0	0	0	0	0	0	7	0	47	1	0	0	0	0	0	2	6
B3GALT5	B3GALT5	NM_001356339.2	protein_coding	0	2	1	72	12	0	0	0	0	0	0	7	0	47	1	0	0	0	0	0	2	6
B3GALT5	B3GALT5	NM_006057.3	protein_coding	0	2	1	37	12	0	0	0	0	0	0	7	0	6	1	0	0	0	0	0	2	12
B3GALT5	B3GALT5	NM_033170.3	protein_coding	0	2	1	37	12	0	0	0	0	0	0	7	0	6	1	0	0	0	0	0	2	12
B3GALT5	B3GALT5	NM_033171.3	protein_coding	0	2	1	37	12	0	0	0	0	0	0	7	0	6	1	0	0	0	0	0	2	12
B3GALT5	B3GALT5	NM_033172.3	protein_coding	0	2	1	37	12	0	0	0	0	0	0	7	0	6	1	0	0	0	0	0	2	12
B3GALT5-AS1	B3GALT5-AS1	NR_026542.1		0	0	0	34	0	0	0	0	0	0	0	8	0	19	0	4	0	0	0	0	0	3
B3GALT5-AS1	B3GALT5-AS1	NR_026543.1		0	0	0	16	0	0	0	0	0	0	0	3	0	5	0	5	0	0	0	0	0	3
BACE2	BACE2	NM_012105.5	protein_coding	0	1	0	143	12	0	0	0	0	0	0	11	0	114	0	0	0	0	0	0	1	6
BACE2	BACE2	NM_138991.3	protein_coding	0	0	0	144	12	0	0	0	0	0	0	11	0	115	0	0	0	0	0	0	0	6
BACE2	BACE2	NM_138992.3	protein_coding	0	1	0	143	12	0	0	0	0	0	0	11	0	114	0	0	0	0	0	0	1	6
BACH1	BACH1	NM_001186.4	protein_coding	0	1	1	30	5	0	0	0	0	0	0	5	0	17	1	0	0	0	0	0	1	3
BACH1	BACH1	NM_206866.3	protein_coding	0	1	1	30	5	0	0	0	0	0	0	5	0	17	1	0	0	0	0	0	1	3
BACH1	BACH1	NR_027655.2		0	0	0	44	0	0	0	0	0	0	0	8	0	34	0	1	0	0	0	0	0	1
BACH1-IT2	BACH1-IT2	NR_046564.2		0	0	0	15	0	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0	5
BACH1-IT3	BACH1-IT3	NR_146594.1		0	0	0	43	0	0	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	21
BAGE	BAGE.2	NM_001187.1.2	protein_coding	1	0	1	1058	11	0	2	0	0	0	0	115	0	883	1	0	0	1	0	0	0	48
BAGE2	BAGE2	NM_182482.2	protein_coding	1	1	1	1492	23	0	4	0	0	0	0	5	0	1414	1	0	0	1	1	0	0	48
BAGE3	BAGE3.2	NM_182481.1.2	protein_coding	1	1	1	1492	23	0	4	0	0	0	0	5	0	1414	1	0	0	1	1	0	0	48
BAGE4	BAGE4	NM_181704.1	protein_coding	1	1	1	1492	20	0	2	0	0	0	0	5	0	1419	1	0	0	1	1	0	0	48
BRWD1	BRWD1	NM_001007246.2	protein_coding	0	2	1	66	3	1	4	0	0	0	0	11	0	35	1	0	0	0	1	0	0	14
BRWD1	BRWD1	NM_018963.5	protein_coding	0	6	3	244	2	0	0	0	0	0	0	14	0	214	3	0	0	0	2	0	4	16
BRWD1	BRWD1	NM_033656.4	protein_coding	0	6	3	240	11	0	0	0	0	0	0	11	0	204	3	0	0	0	2	0	4	16
BRWD1-AS1	BRWD1-AS1	NR_046655.1		0	0	0	51	0	0	0	0	0	0	0	10	0	17	0	2	0	0	0	0	0	22
BRWD1-AS2	BRWD1-AS2	NR_111942.1		0	0	0	36	0	0	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	20
BTG3	BTG3	NM_001130914.2.2	protein_coding	0	0	0	14	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	6
BTG3	BTG3	NM_006806.5	protein_coding	0	0	0	14	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	6
BTG3-AS1	BTG3-AS1	NR_149073.1		0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	1
C21orf58	C21orf58	NM_001286462.1	protein_coding	0	2	3	66	1	0	0	0	0	0	1	26	0	32	2	0	0	0	1	0	1	8
C21orf58	C21orf58	NM_001286463.1	protein_coding	0	2	3	54	4	0	0	0	0	0	1	21	0	23	2	0	0	0	1	0	1	7
C21orf58	C21orf58	NM_001286476.1	protein_coding	0	2	3	66	2	0	1	0	0	0	1	21	0	31	2	0	0	0	1	0	1	12
C21orf58	C21orf58	NM_001286477.1	protein_coding	0	2	3	66	4	0	0	0	0	0	1	21	0	30	2	0	0	0	1	0	1	12
C21orf58	C21orf58	NM_058180.5	protein_coding	0	1	2	68	4	0	1	0	0	0	1	21	0	31	1	0	0	0	1	0	0	12
C21orf59-TCP10L	C21orf59-TCP10L	NM_001350338.2	protein_coding	0	0	1	72	7	0	0	0	0	0	0	5	0	56	1	0	0	0	0	0	0	4
C21orf59-TCP10L	C21orf59-TCP10L	NR_146638.2		0	0	0	79	0	0	0	0	0	0	0	4	0	62	0	9	0	0	0	0	0	4
C21orf59-TCP10L	C21orf59-TCP10L	NR_146639.2		0	0	0	79	0	0	0	0	0	0	0	4	0	62	0	9	0	0	0	0	0	4
C21orf62	C21orf62.2	NM_001162495.3.2	protein_coding	0	2	0	52	3	0	0	0	0	0	0	5	0	41	0	0	0	0	1	0	1	4
C21orf62	C21orf62.2	NM_001162496.3.2	protein_coding	0	1	0	53	3	0	0	0	0	0	0	5	0	41	0	0	0	0	0	0	1	4
C21orf62	C21orf62.2	NM_019596.6.2	protein_coding	0	1	0	53	3	0	0	0	0	0	0	5	0	41	0	0	0	0	0	0	1	4
C21orf62-AS1	C21orf62-AS1	NR_024622.1		0	0	0	59	0	0	0	0	0	0	0	14	0	39	0	3	0	0	0	0	0	3
C21orf62-AS1	C21orf62-AS1	NR_024623.1		0	0	0	59	0	0	0	0	0	0	0	14	0	39	0	3	0	0	0	0	0	3
C21orf91	C21orf91	NM_001100420.2	protein_coding	0	0	2	48	10	0	0	0	0	0	0	16	0	18	2	0	0	0	0	0	0	4
C21orf91	C21orf91	NM_001100421.2	protein_coding	0	0	2	48	10	0	0	0	0	0	0	16	0	18	2	0	0	0	0	0	0	4
C21orf91	C21orf91	NM_017447.4	protein_coding	0	0	2	48	10	0	0	0	0	0	0	16	0	18	2	0	0	0	0	0	0	4
C21orf91-OT1	C21orf91-OT1	NR_038870.1		0	1	0	42	0	0	0	0	0	0	0	0	0	33	0	3	0	0	1	0	0	7
C21orf91-OT1	C21orf91-OT1	NR_038871.1		0	1	0	42	0	0	0	0	0	0	0	0	0	33	0	3	0	0	1	0	0	7
C2CD2	C2CD2	NM_015500.2	protein_coding	0	3	0	188	12	0	0	0	0	0	0	12	0	150	0	0	0	0	0	0	3	14
C2CD2	C2CD2	NM_199050.3	protein_coding	0	3	0	133	12	0	0	0	0	0	0	12	0	107	0	0	0	0	0	0	3	2
CBR1	CBR1	NM_001286789.2	protein_coding	0	1	0	22	3	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	1	1
CBR1	CBR1	NM_001757.4	protein_coding	0	2	0	21	0	0	0	0	0	0	0	8	0	12	0	0	0	0	0	0	2	1
CBR3	CBR3	NM_001236.4	protein_coding	0	2	2	48	0	0	0	0	0	0	0	10	0	31	2	0	0	0	0	0	2	7
CBR3-AS1	CBR3-AS1	NR_038892.1		0	0	0	87	0	0	0	0	0	0	0	8	0	59	0	2	0	0	0	0	0	18
CBR3-AS1	CBR3-AS1	NR_038893.1		0	0	0	87	0	0	0	0	0	0	0	8	0	59	0	2	0	0	0	0	0	18
CBR3-AS1	CBR3-AS1	NR_038894.1		0	0	0	67	0	0	0	0	0	0	0	18	0	30	0	1	0	0	0	0	0	18
CCT8	CCT8	NM_001282907.1	protein_coding	0	0	0	26	0	0	1	0	0	0	0	3	0	17	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_001282908.1	protein_coding	0	0	0	26	0	0	1	0	0	0	0	3	0	17	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_001282909.1	protein_coding	0	0	0	26	0	0	1	0	0	0	0	3	0	17	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_006585.4	protein_coding	0	0	0	26	0	0	1	0	0	0	0	3	0	17	0	0	0	0	0	0	0	5
CFAP298	CFAP298	NM_001350334.2	protein_coding	0	0	0	30	4	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	4
CFAP298	CFAP298	NM_001350335.1	protein_coding	0	0	0	28	3	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	4
CFAP298	CFAP298	NM_001350336.2	protein_coding	0	0	0	30	4	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	4
CFAP298	CFAP298	NM_001350337.2	protein_coding	0	0	0	28	3	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	4
CFAP298	CFAP298	NM_021254.4	protein_coding	0	0	0	30	4	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	4
CFAP410	CFAP410	NM_001271440.2	protein_coding	0	1	3	25	0	0	0	0	0	0	0	9	0	13	3	0	0	0	1	0	1	3
CFAP410	CFAP410	NM_001271441.2	protein_coding	0	2	3	24	0	0	0	0	0	0	0	9	0	12	3	0	0	0	2	0	2	3
CFAP410	CFAP410	NM_001271442.1	protein_coding	0	0	3	25	0	0	0	0	0	0	0	9	0	13	3	0	0	0	1	0	0	3
CFAP410	CFAP410	NM_004928.3	protein_coding	0	1	3	25	0	0	0	0	0	0	0	9	0	13	3	0	0	0	1	0	1	3
CHAF1B	CHAF1B	NM_005441.3	protein_coding	0	0	1	45	1	0	0	0	0	0	0	6	0	36	1	0	0	0	0	0	0	2
CHODL	CHODL	NM_001204174.1	protein_coding	0	1	0	55	7	0	0	0	0	0	0	22	0	21	0	0	0	0	1	0	0	6
CHODL	CHODL	NM_001204175.1	protein_coding	0	1	0	586	7	0	0	0	0	0	0	22	0	547	0	0	0	0	1	0	0	11
CHODL	CHODL	NM_001204176.1	protein_coding	0	1	0	586	7	0	1	0	0	0	0	22	0	546	0	0	0	0	1	0	0	11
CHODL	CHODL	NM_001204177.1	protein_coding	0	1	0	586	7	0	0	0	0	0	0	22	0	547	0	0	0	0	1	0	0	11
CHODL	CHODL	NM_001204178.1	protein_coding	0	1	0	586	7	0	1	0	0	0	0	22	0	546	0	0	0	0	1	0	0	11
CHODL	CHODL	NM_024944.3	protein_coding	0	1	0	56	7	0	0	0	0	0	0	22	0	22	0	0	0	0	1	0	0	6
CHODL-AS1	CHODL-AS1	NR_024354.1		0	0	0	74	0	0	0	0	0	0	0	6	0	66	0	0	0	0	0	0	0	2
CLDN14	CLDN14	NM_001146077.1	protein_coding	0	3	0	341	0	0	0	0	0	0	0	6	0	322	0	0	0	0	0	0	3	13
CLDN14	CLDN14	NM_001146078.3	protein_coding	0	3	0	203	0	0	1	0	0	0	0	6	0	186	0	0	0	0	0	0	3	10
CLDN14	CLDN14	NM_001146079.2	protein_coding	0	3	0	37	0	0	1	0	0	0	0	6	0	21	0	0	0	0	0	0	3	9
CLDN14	CLDN14	NM_012130.4	protein_coding	0	3	0	17	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	3	4
CLDN14	CLDN14	NM_144492.3	protein_coding	0	3	0	37	0	0	1	0	0	0	0	6	0	21	0	0	0	0	0	0	3	9
CLDN17	CLDN17	NM_012131.3	protein_coding	0	0	2	7	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
CLDN8	CLDN8	NM_199328.3	protein_coding	0	0	2	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
CLIC6	CLIC6	NM_001317009.2	protein_coding	0	4	1	75	1	0	2	0	0	0	0	3	0	64	1	0	0	0	0	0	4	5
CLIC6	CLIC6	NM_053277.3	protein_coding	0	4	1	75	1	0	2	0	0	0	0	3	0	64	1	0	0	0	0	0	4	5
COL18A1	COL18A1	NM_030582.4	protein_coding	1	10	5	206	4	0	0	0	0	1	0	13	0	182	4	0	1	0	3	0	9	9
COL18A1	COL18A1	NM_130444.3	protein_coding	1	11	7	203	4	0	0	0	0	1	0	13	0	179	6	0	1	0	3	0	10	9
COL18A1	COL18A1	NM_130445.4	protein_coding	1	8	5	311	4	0	0	0	0	1	0	13	0	289	4	0	1	0	3	0	7	7
COL18A1-AS1	COL18A1-AS1	NR_027498.1		0	0	0	32	0	0	0	0	0	0	0	17	0	4	0	3	0	0	0	0	0	8
COL18A1-AS1	COL18A1-AS1	NR_028082.1		0	0	0	32	0	0	0	0	0	0	0	17	0	2	0	5	0	0	0	0	0	8
COL18A1-AS2	COL18A1-AS2	NR_052004.1		0	0	0	21	0	0	0	0	0	0	0	5	0	4	0	1	0	0	0	0	0	11
COL6A1	COL6A1	NM_001848.3	protein_coding	0	3	2	139	2	0	1	0	0	0	0	13	0	107	2	0	0	0	0	0	3	16
COL6A2	COL6A2	NM_001849.4	protein_coding	1	8	5	158	0	0	0	0	0	0	0	25	0	116	5	0	1	0	1	0	7	19
COL6A2	COL6A2	NM_058174.3	protein_coding	1	5	4	144	3	0	0	0	0	0	0	18	0	106	4	0	1	0	1	0	4	19
COL6A2	COL6A2	NM_058175.2	protein_coding	1	5	4	144	3	0	0	0	0	0	0	18	0	106	4	0	1	0	1	0	4	19
CRYAA	CRYAA	NM_000394.4.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
CRYAA	CRYAA	NM_001363766.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001314050.2.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001320719.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
CRYZL1	CRYZL1	NM_145858.3	protein_coding	0	1	0	63	1	0	0	0	0	0	0	5	0	51	0	0	0	0	1	0	0	7
CSTB	CSTB	NM_000100.3	protein_coding	0	0	0	15	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9
CXADR	CXADR	NM_001207063.2	protein_coding	0	0	2	109	7	0	0	0	0	0	0	22	0	78	2	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207064.2	protein_coding	0	0	2	109	7	0	0	0	0	0	0	22	0	78	2	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207065.2	protein_coding	0	0	2	109	7	0	0	0	0	0	0	22	0	78	2	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207066.1	protein_coding	0	2	0	132	0	0	0	0	0	0	0	3	0	127	0	0	0	0	0	0	2	2
CXADR	CXADR	NM_001338.5	protein_coding	0	2	0	109	7	0	0	0	0	0	0	22	0	78	0	0	0	0	0	0	2	2
CYP4F29P	CYP4F29P	NR_026755.1		0	0	0	22	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	8
CYYR1	CYYR1	NM_001320768.2	protein_coding	1	1	0	145	4	0	0	0	0	0	0	5	0	136	0	0	0	1	0	0	1	1
CYYR1	CYYR1	NM_052954.5	protein_coding	1	1	0	145	4	0	0	0	0	0	0	5	0	136	0	0	0	1	0	0	1	1
CYYR1	CYYR1	NR_135472.2		1	0	0	146	0	0	0	0	0	0	0	5	0	136	0	5	0	1	0	0	0	1
CYYR1-AS1	CYYR1-AS1	NR_135515.1		0	1	0	213	0	0	0	0	0	0	0	3	0	196	0	4	0	0	1	0	0	11
CYYR1-AS1	CYYR1-AS1	NR_135516.1		0	0	0	175	0	0	0	0	0	0	0	2	0	169	0	1	0	0	0	0	0	3
D21S2088E	D21S2088E	NR_040254.1		0	1	0	46	0	0	0	0	0	0	0	2	0	33	0	5	0	0	1	0	0	7
DIP2A	DIP2A	NM_001146115.2	protein_coding	0	2	1	225	1	0	0	0	0	0	0	13	0	200	1	0	0	0	0	0	2	11
DIP2A	DIP2A	NM_001146116.1	protein_coding	0	7	1	278	3	0	0	0	0	0	0	10	0	255	1	0	0	0	1	0	6	11
DIP2A	DIP2A	NM_001353942.1	protein_coding	0	7	1	278	3	0	0	0	0	0	0	10	0	255	1	0	0	0	1	0	6	11
DIP2A	DIP2A	NM_001353943.1	protein_coding	0	7	1	279	2	0	0	0	0	0	0	10	0	257	1	0	0	0	1	0	6	11
DIP2A	DIP2A	NM_001353944.2	protein_coding	0	2	0	226	1	0	0	0	0	0	0	13	0	201	0	0	0	0	0	0	2	11
DIP2A	DIP2A	NM_015151.4	protein_coding	0	7	1	278	3	0	0	0	0	0	0	10	0	255	1	0	0	0	1	0	6	11
DIP2A	DIP2A	NM_206889.3	protein_coding	0	3	1	228	1	0	0	0	0	0	0	8	0	208	1	0	0	0	0	0	3	11
DIP2A	DIP2A	NM_206890.3	protein_coding	0	2	1	225	1	0	0	0	0	0	0	13	0	200	1	0	0	0	0	0	2	11
DIP2A	DIP2A	NM_206891.3	protein_coding	0	2	1	224	1	0	0	0	0	0	0	18	0	194	1	0	0	0	0	0	2	11
DIP2A-IT1	DIP2A-IT1	NR_046400.1		0	0	0	26	0	0	0	0	0	0	0	5	0	13	0	0	0	0	0	0	0	8
DNAJC28	DNAJC28	NM_001040192.2	protein_coding	1	0	0	25	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	18
DNAJC28	DNAJC28	NM_001320746.2	protein_coding	1	0	0	25	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	18
DNAJC28	DNAJC28	NM_017833.4	protein_coding	1	0	0	25	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	18
DNMT3L	DNMT3L	NM_013369.4	protein_coding	0	1	0	19	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	9
DNMT3L	DNMT3L	NM_175867.3	protein_coding	0	1	0	19	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	9
DNMT3L-AS1	DNMT3L-AS1.2	NR_135514.1.2		0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
DONSON	DONSON	NM_017613.4	protein_coding	0	1	1	27	1	0	0	0	0	0	0	12	0	11	1	0	0	0	1	0	0	4
DOP1B	DOP1B	NM_001320714.1	protein_coding	0	3	3	334	2	0	1	0	0	0	0	13	0	305	3	0	0	0	1	0	2	14
DOP1B	DOP1B	NM_005128.3	protein_coding	0	3	3	308	2	0	0	0	0	0	0	13	0	283	3	0	0	0	1	0	2	11
DSCAM	DSCAM	NM_001271534.3	protein_coding	0	1	0	1319	3	0	0	0	0	0	0	10	0	1302	0	0	0	0	0	0	1	4
DSCAM	DSCAM	NM_001389.5	protein_coding	0	1	0	1319	3	0	0	0	0	0	0	10	0	1302	0	0	0	0	0	0	1	4
DSCAM	DSCAM	NR_073202.3		0	0	0	1320	0	0	0	0	0	0	0	10	0	1302	0	4	0	0	0	0	0	4
DSCAM-AS1	DSCAM-AS1	NR_038896.1		0	0	0	16	0	0	0	0	0	0	0	8	0	1	0	2	0	0	0	0	0	5
DSCAM-AS1	DSCAM-AS1	NR_038898.1		0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	5
DSCAM-AS1	DSCAM-AS1	NR_038899.1		0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	5
DSCAM-AS1	DSCAM-AS1	NR_038900.1		0	0	0	16	0	0	0	0	0	0	0	8	0	1	0	2	0	0	0	0	0	5
